[2025-07-18 13:02:54] 1000BTTUSDT (linear) - 4.2x, цена: 0.001, Объем: 32,247,800 USD
[2025-07-18 13:02:54] 10000ELONUSDT (linear) - 4.4x, цена: 0.001, Объем: 11,967,000 USD
[2025-07-18 13:02:53] 1000000PEIPEIUSDT (linear) - 3.3x, цена: 0.053, Объем: 1,384,861 USD
[2025-07-18 12:56:53] SPELLUSDT (linear) - 6.2x, цена: 0.001, Объем: 101,019,900 USD
[2025-07-18 12:56:49] SNTUSDT (linear) - 4.6x, цена: 0.033, Объем: 5,580,800 USD
[2025-07-18 12:56:49] SCUSDT (linear) - 4.7x, цена: 0.004, Объем: 12,530,550 USD
[2025-07-18 12:56:48] SANDUSDT (linear) - 3.2x, цена: 0.340, Объем: 2,114,624 USD
[2025-07-18 12:56:48] PIPPINUSDT (linear) - 6.1x, цена: 0.021, Объем: 14,181,573 USD
[2025-07-18 12:56:47] ORDERUSDT (linear) - 7.6x, цена: 0.095, Объем: 1,325,491 USD
[2025-07-18 12:56:44] ONEUSDT (linear) - 3.2x, цена: 0.013, Объем: 4,990,737 USD
[2025-07-18 12:56:43] MNTUSDT (linear) - 7.7x, цена: 0.777, Объем: 1,671,575 USD
[2025-07-18 12:56:42] MILKUSDT (linear) - 5.4x, цена: 0.053, Объем: 1,099,483 USD
[2025-07-18 12:56:41] GPSUSDT (linear) - 4.2x, цена: 0.025, Объем: 1,788,290 USD
[2025-07-18 12:56:41] CUSDT (linear) - 16.6x, цена: 0.242, Объем: 24,386,792 USD
[2025-07-18 12:56:40] C98USDT (linear) - 3.8x, цена: 0.061, Объем: 3,325,305 USD
[2025-07-18 12:51:15] SIGNUSDT (linear) - 3.6x, цена: 0.079, Объем: 1,255,020 USD
[2025-07-18 12:51:14] REXUSDT (linear) - 11.3x, цена: 0.015, Объем: 13,741,030 USD
[2025-07-18 12:51:14] PORTALUSDT (linear) - 3.3x, цена: 0.063, Объем: 3,690,220 USD
[2025-07-18 12:51:13] DODOUSDT (linear) - 3.5x, цена: 0.050, Объем: 1,171,489 USD
[2025-07-18 12:45:18] SNTUSDT (linear) - 3.1x, цена: 0.033, Объем: 3,805,260 USD
[2025-07-18 12:45:18] RESOLVUSDT (linear) - 3.3x, цена: 0.157, Объем: 1,653,860 USD
[2025-07-18 12:45:16] PYTHUSDT (linear) - 3.1x, цена: 0.140, Объем: 2,027,654 USD
[2025-07-18 12:45:16] POLUSDT (linear) - 3.8x, цена: 0.247, Объем: 4,881,493 USD
[2025-07-18 12:45:15] KOMAUSDT (linear) - 5.1x, цена: 0.023, Объем: 4,649,055 USD
[2025-07-18 12:45:05] IOSTUSDT (linear) - 3.3x, цена: 0.004, Объем: 7,648,744 USD
[2025-07-18 12:44:55] GIGAUSDT (linear) - 4.6x, цена: 0.024, Объем: 17,942,590 USD
[2025-07-18 12:44:45] DOGEUSDT (linear) - 3.1x, цена: 0.240, Объем: 170,641,912 USD
[2025-07-18 12:44:44] BAKEUSDT (linear) - 3.9x, цена: 0.096, Объем: 1,571,115 USD
[2025-07-18 12:44:43] ALUUSDT (linear) - 3.0x, цена: 0.011, Объем: 33,165,464 USD
[2025-07-18 12:38:30] SIGNUSDT (linear) - 3.5x, цена: 0.080, Объем: 1,234,290 USD
[2025-07-18 12:38:29] REXUSDT (linear) - 5.0x, цена: 0.015, Объем: 6,099,850 USD
[2025-07-18 12:38:29] PORTALUSDT (linear) - 3.8x, цена: 0.062, Объем: 4,277,047 USD
[2025-07-18 12:38:28] PIPPINUSDT (linear) - 4.1x, цена: 0.020, Объем: 9,443,764 USD
[2025-07-18 12:38:28] MNTUSDT (linear) - 43.6x, цена: 0.769, Объем: 9,487,739 USD
